winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Château Vannières,Bandol Rosé 2018,Rosé wine,France,3.9,57,26.99,100% Mourvedre,,"Close to the 2017, with its own character. Apricot and orange zest on the nose; peach and Fiorelli pear midrange with some minerality; pink grapefruit and beach grass flavors in the finish. Ideal for a hot summer day.,Elegantly barely blush pink. Soft minerality and very mild funk on the nose, which is super interesting for a rose, but expected for a Mouvedre rose from Bandol. Slight herbal note - maybe from the funk? Really enjoyed this!,Well balanced. Notes of white peach, some floral notes and some herbaciousness. An excellent afternoon wine!"
I Vignaioli di S. Stefano,Moscato d'Asti 2020,Sparkling wine,Italy,4.2,26,23.99,Moscato Bianco,5.5,"Nice Moscato, but it doesn't have the freshness and ample bouquet of the best (Saracco, Scarpa, etc),Light and fruity . Sweet without being overpowering.,An unusual dessert wine. Notes of top fruit. Especially pear."
Château Guiraud,Sauternes (Premier Grand Cru Classé) 2008,Dessert wine,France,4.3,402,63.99,100% Sémillon,13.5,"Really pure Guiraud with clear notes of Saffron.,Always a pleasure to taste Chateau Guiraud. Nose expressing safron, quince and passion fruit. In the mouth, sauvignon blanc gives a momentum to balance the sweetness. Long and perfumed finish,91 pts. Shiny golden color. Bunch of dried fruits like apricot peach pineapple as well some pink grapefruit pomegranate. Delicious acidity and sweetness full body and long lingering finish"
Château Doisy-Vedrines,Sauternes (Grand Cru Classé) 2012,Dessert wine,France,4.0,431,34.99,100% Sémillon,14,"Clear medium gold color with pronounced honey savory character nose, slightly earthy, noting the presence of Botrytis (Noble Rot). The wine is rich yet dry with noticeable high acidity, full body and complex. The palate yields rich stone fruits with citrus tones, slight nutty character, which should develop nicely with time. Good value. Tasting Sample.,I prefer dry wines, but this was an enjoyable Sauternes. Lemon meringue, pineapple, peach. Full bodied with additional layers of caramel & honey.,Delicious semi dry dessert wine. Honey, ripe pear, and delicate aromatics without being obviously sweet. Lovely golden colour and medium+ body. Lovely and paired well with a chocolate mousse."
Lost Toy Cellars,Cabernet Sauvignon 2016,Red wine,United States,4.3,74,100,Cabernet Sauvignon,,"OK - you gotta get past the label for the quality of this wine. Put this on a Stags Leap or Shafer label and ..... oh well. Marketing isn’t my strongpoint. Onto the good stuff: SOLID Napa juice. Bring on the blueberry and blackberry in massive quantities. Very fruit forward. Smooth as silk and tasty as all get out. A true winner. For the price it’s a solid buy. I’d buy it again on a heartbeat.,Tasted 30+ wines in a row that this debut release gets 1st place for sure. Silky texture with rich layers of blackberry pie and spice.,4.3 very nice one here, good balance between acidity and sweetness, and with a lot of runway yet."
Francis Ford Coppola Winery,Director's Cut Zinfandel 2017,Red wine,United States,4.2,455,26.99,100% Zinfandel,14.5,"Dark ruby color with nose of bacon resin oak and plum. Well balanced body with taste of violet honey and plum.,Delicious. Smells amazing. Depth, spicy, deep flavors. Great deal at this price.,Excellent and well balanced wine. Heavy berry, but subsides after some air. Wonderful bouquet. Quite dry. Would pair with a variety of dishes...red sauce to steak. And in between."
Florio,Fine Marsala Sweet (Ambra Dolce) N.V.,Fortified Wine,Italy,3.4,934,,100% Grillo,18,"2010 vintage,Sweet raisiny flavors remembered from making my Sicilian grandmothers Cannolis as a young adult. Good with deserts and for Cannolis.,Nice color - deep Amber. Nose shows raisins and marmalade. The palate brings yellow raisins, apricot jam, and a nutty notes on the finish. Sweetness is expected but is delightful."
Krohn,Senador Tawny Porto N.V.,Fortified Wine,Portugal,3.5,618,14.99,"Touriga Francesa, Touriga Nacional, Tinta Roriz, Tinta Barroca",19,"Cherry, plum, red currant, prune and fig with a hint of chocolate and coffee. Vibrant & young, I would say it was more a ruby rather than a tawny but still very pleasant.,Ancient bottling from the 80's. Needed lots of air over many days to show its best. Very mild in expression with plums and brown sugar. Some acidity to balance the sweetness. 90 points,DIVINO RESTAURANT NOVA LIMA MG. 3.3 Deep tawny colour, fig, raisins, almond, balanced, agreeable sweetness. DESSERT: Tiramissu cream. RESTAURANTE DIVINO NOVA LIMA MG. 3.3 Cor tawny intensa, notas de figos, passas toque amendoado, bom equilíbrio, agradável dulçor se mantém. SOBREMESA: Tiramissu."
Les Maitres Vignerons de la Presqu'ile de Saint-Tropez,Fleur de Mer Rosé 2019,Rosé wine,France,4.1,1095,17.99,100% Grenache,13,"Very light pink color. Different from Napa Rose but better. Kind of tart with a hint of green apple. Better than the last two rose.,A birthday gift wine. Super refreshing on a hot 96 degree beach day. Watermelon, peach, citrus and lavender. Very good!,Tasty! Orange zest and wild strawberry on the nose. White peach and strawberry on the palate. Acid in check, present but not over the top. Really enjoyed this."
Treana,Cabernet Sauvignon 2018,Red wine,United States,4.3,2782,27.53,100% Cabernet Sauvignon,14.5,"These guys just keep knocking out of the park! Yet another fruit forward, soft tannin, easy drinking everyday cab. I’m sure I’ve enjoyed their 2017 vintage as well!,Outstanding, full bodied with vanilla, chocolate and dark fruit notes. Destrots anything up to $50, buy a case. Two year old cabernet? Believe!,Excellent Paso Robles cabernet sauvignon. Big and bold, fruit forward, with nice tannins. If this was from Napa, it would cost twice as much."
Valdespino,Contrabandista Amontillado Blend Medium Dry N.V.,Fortified Wine,Spain,3.8,647,23.99,"Palomino, Pedro Ximenez",18,"Dry, slightly bitter and a little bit saline. This is quite spectacular as a before dinner drink with almonds and Manchego cheese.,2008 vintage,Short notes: Medium-dry, white fruity and bright nose, fig, caramel, toffee, palate is quite saline and retains some acidity. Excellent dessert companion."
Bernardus,Chardonnay 2018,White wine,United States,4.3,751,23.99,100% Chardonnay,14.4,"When smelling, butter vanilla honey flowers, peach. When tasting: Two dimensions meet, the smell of buttery flowers, opposed to -tart- melon pear. I didn’t and still don’t know about wines but I still agree with myself a few years back: 4.5.,Great Chardonnay. Smells of oak, butterscotch, and light citrus. All very subtle making it a great wine to drink. These bold Chardonnays from the USA can often be too much, but this was great in balance with quite low acidity. We enjoyed it with juicy roasted chicken from the oven and it combined very well.,Like the US: big and bold. Wow. Big big nose of oak and green olive. Tastes like haribo banana candy, mango rind, unripe fruit, with a little bit of that oak and buttery feeling. Nice acidity. Really a great wine."
Illumination,Sauvignon Blanc 2016,White wine,United States,4.3,475,49.99,100% Sauvignon Blanc,14.2,"Grass on the nose but unusually citrussy (grapefruit!) on the palate for a S.B. Strange but actually very charming, enchanting.,Lychee and mango. Just enough acid for balance. This is bright and rich and all-round an excellent wine. Somewhat unusual for a sauvignon blanc,Became one of my fav SB from napa!! Such a delicious and refreshing SB with more complexity and depth on flavors. Grapefruit yeah!! Should try this with oysters..."
Trefethen,Dragon's Tooth 2017,Red wine,United States,4.3,360,39.99,"Merlot, Cabernet Sauvignon, Petite Sirah, Cabernet Franc, Malbec",14.7,"Absolutely loving the California Bordeaux‘s! An amazing blend which adds to it’s uniqueness. Can’t go wrong with Trefethen.,Intense aromas of dark fruits and vanilla. Smooth finish on the palate. Number 500 in our scans.....worthy of that bottle count. #thecellardoor,Great blend. Full of big bold warm flavors. Nice spice, but smooth. Oaky, deep vanilla, dark berry, and long chocolate earthy finish. Great sipper!"
Château Soucherie,Clos des Perrières Savennières 2016,Dessert wine,France,4.2,33,,Chenin Blanc,,"Smell: peach, apple, pineapple Taste: green apple, grapefruit, peach, dry Comments: A little bitter and with more acid than I prefer.,Bouquet of green Apple and pear. Mouthfeel is dry, with medium high acidity and flavors of candied pear and caramel apple.,Smell: sweet, slightly floral, pear, green apple, cotton Tatse: pear, grapefruit, toast Notes: medium high acid,"
Donkey & Goat,Isabel's Cuvée Grenache Rosé 2020,Rosé wine,United States,4.1,26,38.99,Grenache,,"apple peach super refreshing and light,Hazy deliciousness. Like an alt rosé. Lots of grapefruit, tomato, tomato greens, strawberry, and some peach and stone fruit. High acid, light+ bodied. Chilled bottle went down too easy with pizza.,guava tropical fruit. strawberry watermelon peach citrus minerals"
Âme du Vin,Côtes de Provence Rosé 2019,Rosé wine,France,4.0,67,18.99,"Cinsault, Grenache",13.5,"Soft and balanced with notes of watermelon and dark fruit. Excellent for the heat of the south in the summer. First cotes de Provence rose.,Light, strawberry and melon, soft and easy finish,Another solid Provence Rose got a value price. ($13.99usd on Vivino). Medium salmon in color with notes of rose petal Light bodied with fresh fruit expression. Dry mouthfeel with rich minerality and crisp acidity Still plenty of fruit to chew on this balanced wine. On the palate it’s strawberry, lime and hiNys of saline on the finish. 89pts"
Gil Luque,Leyenda Oloroso Sherry N.V.,Fortified Wine,Spain,3.5,48,11.99,100% Palomino,18,"Used 2 cups of this in beef flautas. Tasted it a bit while cooking. Really fun if you like Sherry. Was a nice aperitif with Camembert.,Pale amber color with pronounced aroma of raisins, fruit cake, fig, walnut, caramel. Fully developed but dry. Pronounced palate of dried fruit, wood, walnut, salt. Medium + finish. V good.,I just don't like Sherry. Almond, saline"
Esporão,Quinta dos Murças Reserva Douro 2012,Red wine,Portugal,4.2,1400,39.99,"Tinta Amarela, Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca",14.5,"what an amazing surprise... fruit forward balanced (really good fruit) slightly tight but that was ONLY because I was impatient. Beautiful,What a beauty. Already a cork has intensive aroma of a fig. And there's fig in the taste, too. Cocoa, chocolate, plum, coffee. Intensive and long aftertaste. Great wine.,4.3/5. Great Douro wine, one of the best in this price range. This soecific bottle had a bit too much acidity, but after some time it was not as strong and more of dark fruits came forward."
VALENCISO,Rioja Reserva 2012,Red wine,Spain,4.2,1404,35.69,100% Tempranillo,14,"Very nice Rioja. Great structure. Notes of cherry plum blackberry and very nice earthy notes with vanilla and tobacco. Great finish.,After the previous foul wine back to an old friend. Rounded red fruit aromas. Butterscotch and caramel on tongue. Rounded and mellow with USDA beef and trimmings,4.3. One of the best reds I've had for a while. A great Rioja: grippy tannins, lovely oak notes, lots of plum and black fruit flavours. A fantastic find."
Argyros,Atlantis Rosé 2017,Rosé wine,Greece,3.9,162,14.95,"Assyrtiko, Mandilaria",,"I am by no means a rose drinker but this wine is excellent. Smells of pears, crisp balanced flavor. Perfect for fish or a hot day. Really nice,Rose blend of Assyrtiko and Mandilaria grapes. Taste of strawberry, cherry and citrus. Big body, bold structure, medium plus acidity and a mineral aftertaste.,Nice, dry but fruity rosé from Santorini with pineapple, raspberry, woody and soft pepper notes in the mouth and a long raspberry berry finish. Simple, softly smoky nose."
Rutini,Cabernet - Malbec 2017,Red wine,Argentina,4.2,5964,26.99,"Cabernet Sauvignon, Malbec",,"Ripe red fruit, Cinnamon with a touch of oak notes. The mouth has nice astringency with ripe plum, ripe cherry and sweet spices.,leather dark fruit plum tobacco caramel on the nose, dark fruit plum cherry vanilla chocolate oak on the palate. well balanced cabernet - malbec.,Very smooth Malbec-cabernet. On the nose, pepper and oak. On the palate, pepper, oak and cherry. Hints of chocolate and plum. Sláinte 🍷"
Santa Margherita,Valdobbiadene Prosecco Superiore,Sparkling wine,Italy,3.8,8723,,Glera,11.5,"March, '18. Best Prosecco I've had. 8-9 grams of sugar, so in the middle of brut. At an industry tasting of luscious wines.,I served this a little warmer than I might next time, still it didn’t disappoint! Vigorous lively bubbles, tart stone fruits and green melon, this is a nice Prosecco for sure! Enjoy! 🥂,Heavier body than expected but lighter flavors of apples, lime zest and other citrus with white flowers and honeysuckle on the nose. The acidity is also less potent than other economic tried but the dry texture allows the flavors to have their necessary impact. Floral aromatic finish with the apples getting a hint of toast and spices added in. Not as good pairing with fruit alone but with eggs Benedict and Strawberries Romanov, it was a very good player. Time to hit Mexico again!"
Viña Cobos,Bramare Malbec Uco Valley 2017,Red wine,Argentina,4.4,1895,39.77,100% Malbec,14,"A wine that takes all expectations and more. At first it resembles the sweet tasting of a red fruit to later harmonize the taste buds in a single whole,A classy Malbec. Dark cherry with ruby rims. A fresh fruity nose, but with complexity and elegance. Well structured, full body Malbec with delicious black fruit, moderate oak, and robust finish.,Big, bad, but not ugly. Really solid. Loads of blackberry and weighty fruits. Silky mouth feel. Some sweeter fruit but predominantly a long earthy finish, well integrated tannins"
Azienda Agricola Caudrina,Moscato d'Asti 2019,Sparkling wine,Italy,3.9,91,18.99,100% Moscato Bianco,5.5,"Lovely moscato, not too complex though, very fresh.,A sweet Moscato with a nice fizz. A nice counterpart to green tea creme bruleé. 3.5,Lots of sweets, peach and yeast"
Taylor's,Late Bottled Vintage Port 2014,Fortified Wine,Portugal,4.0,1617,22.42,"Touriga Francesa, Touriga Nacional, Tinta Roriz, Tinto Cao",20,"88 Aroma had black currants, raisins and pepper. Over the palate came black cherries, plums, vanilla, raisins and dates, dark chocolate and espresso.,Classic aromas, sweet berry fruits with bit of spice. On the palate black plum and cherry flavors with nutty cacao and black pepper notes. Lingering finish, dry soft tannins, balanced acidity ending with mineral tones. Great to drink now. Tasting Sample.,Port wine Christmas calendar 2019. 19 December. Ruby style port from a single year but bottled later as the name indicates. Stored on large oak casks and bottled in 2019. 20% alcohol. Deep dark ruby red color and a complex nose with layers of chocolate cherry ripe fruit raisin caramel. In taste it is powerful but also extremely elegant with lots of balanced sweetness and a light tannic bite. The flavors include chocolate fig raspberries cherry brown sugar prune licorice honey vanilla"
Château Suduiraut,Lions de Suduiraut Sauternes 2011,Dessert wine,France,3.8,290,22,"Sauvignon Blanc, Sémillon",,"Already darn tasty with room to grow. I've tried the '09 a couple of times and really enjoyed it. This '11 was a similar experience, but it seemed a bit smoother and less viscous than the '09. Although a touch less viscous, that does not mean a dip in quality. This '11, to me, showed more intense flavors with a little less sweetness. With that, it still tasted a little tightly wound, but time in the cellar should prove beneficial to acid and sugar integration. An inexpensive but solid wine for the price.,Very good sweet wine, with noble rot used as the sweetener. Aromas of raisin, sultana, marmalade, honey and mushroom. These scents develop further with stone fruits and dry fruits on the palate. Nice medium plus finish.,This is an interesting vintage, 2011. Great acidity and alcohol, not so sweet. Which means well balanced. Perfect to drink with friends in a hot/cold day with gorgonzola cheese. Drink cold and let it breathe for a while. Nice one."
Bonterra,Rosé 2019,Rosé wine,United States,3.8,62,13.99,"Sangiovese, Zinfandel, Grenache",13.2,"Wild strawberry, fresh watermelon melon, spring flowers nose. Palate of strawberry, peach, Meyer lemon salt finish.,V19. Very nice. Strawberry and citrus nose. Strawberry, Meyer lemon and lime fruit. Crisp, semi dry finish. Nice depth.,Fruity, flavorful and slightly dry"
Ramos Pinto,Late Bottled Vintage Port 2012,Fortified Wine,Portugal,3.8,248,31.99,"Tinta Francisca, Touriga Nacional",19.2,"A lot going on here - aromas and tastes of blackberries, black plum, black cherries, chocolate, coffee and more. Dessert wine from our Alsatian dinner last wine.,Port madness day wine #3: Deep ruby in colour. Medium+ intensity on the nose with cooked cherry, red plum, black plum, hazelnut, almond, raisin, jam, fig, prune and raisins. On the palate is is sweet, medium+ acidity, medium tannins, high alcohol and full body. Medium+ intensity and long finish.,A very elegant, “classy” LBV - retains a remarkable amount of tart “red wine” flavors while still bringing that raisin taste common to Ports. There’s more going on under the surface here, too, with subtle notes of coffee ice cream and candied nuts. There’s a bit of an odd aftertaste, though - not sure whether that is a result of the vintage, from over aging, or something else. But the positives here are enough that I’ll likely seek out this producer again."
Maynard's,Fine Ruby Port N.V.,Fortified Wine,Portugal,3.7,291,13.99,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca",19.5,"1998 vintage,Not necessarily for us. But decent. Earthy and very very very good with dark chocolate. I’d recommend if this is your thing.,84-85/100, 3,4* Nose of medium intensity with hints of blueberry, figs, jam, herbs, chocolate. Sweet taste of low-to-medium intensity with good balance, medium acidity, medium body, figs, blueberry, jam, herbs, minerals on the palate, medium complexity, medium length. Well, I’d say it’s an everyday Porto, a little bit weak on the palate, not intense, not juicy, even watery-like."
St. Michael-Eppan,Sanct Valentin Pinot Grigio 2018,White wine,Italy,4.2,246,39.99,100% Pinot Grigio,14.5,"First wine to discover in this hopeful 2021 🍇 100% Pinot Grigio 👁 golden colour with a high clarity and a lot of tension. Long lasting tears slowly moving in the glass 👃 yellow fruit, pear and peach 👅 well balanced acidity to counter 14% alcohol. An aftertaste of five caudalies. Very nice pairing with pasta vongole.,Great producer, and a really interesting expression of the grape - miles away from the bland Pinot Grigio you so often encounter. This is quite something on the nose - spiced apple and a touch of smoke. On the palate, this is a full bodied wine, with a lush mouth feel. There's some real depth and complexity to this - buttery oak notes, apple and honey. You'd worry this may leave to an overly heavy wine, but there's a vein of minerality that runs through and balances things out. Top stuff.,Blind wine exchange with Koert Neger #4 Pretty rich impressions of vanilla, citrus, aniseed and some marzipan. Med/med+ acidity. Little alcoholic overtone; must be a ‘solar’ wine, but offers a freshness that I should have recognized as an ‘altitude’ wine. Citrus and tropical fruits; I voted for a warmer climate Chardonnay made in Burgundy style. New world, not USA.... ends up top PG from lovely Alto Adige. 17 pts, top!"
DAOU,Reserve Chardonnay 2018,White wine,United States,4.2,129,29.99,100% Chardonnay,14.2,"Citrus on the nose. Pineapple and lemon, with some oak presence. Creamy mouthfeel with Green apple vanilla and white pepper. Medium length on the finish. Balanced acidity.,So buttery on the nose, compared to the last time, which is 6-7 months ago. Golden in color. Creamy mouthfeel oak buttery on palate. Full bodied typical (?) CA Chardonnay. Clear aging effect for a short period. It is great, but was better when tasted at fresher/young last year as it had more layers with fruity components, thus less ⭐️, 4.5.,Delightfully powerful and optically beautiful. Rich on the palate with a smooth feel in the mouth. Bright also on the palate with a quick action the reveal soft and firm fruit. Golden color matches ALL of the palate expressions"
Kopke,Colheita Port 1989,Fortified Wine,Portugal,4.3,323,189,"Tinta Roriz, Tinta Barroca, Tinta Madeira, Touriga Nacional, Touriga Franca",20,"Delicious vintage port. Smooth full flavour with high intensity red berry hit. Good now but even better in 5 to 10 years. A great port on its own or with strong cheese.,4.4/5 ⭐️ Very elegant mature complex and integrated swetnesss from this half bottle. Caramel, fudge, red summer fruit (wild strawberry), dried fruit (white raisin), chocolate. Splendid leghth with fine integrated warmth,An amazing port with a concentrated and well defined nose of dried nuts (hazelnuts, walnut), dried apricot, dried fig, caramel, milk chocolate. The sweetness is beautifully integrated, the palate is elegant. What this Colheita 1989 doesn’t have in boldness compared to a blend (like a Tawny 30y), it makes up for in finesse."
Roureda Llicorella,Gran Selecció Vitis 60 2016,Red wine,Spain,4.3,39,29.99,"Shiraz/Syrah, Cabernet Sauvignon, Grenache",,"Last time I had this I gave it 4 stars and this time 4.5. It belongs in the middle bit a great value Priorat wine! Delicious right out of the bottle.,Terroir! Mainly very old Carignan which gives this smooth power, with silky tannins and bold body.,Very powerfull and complex wine. Strong taste and aromas of earthy, leather, tobacco and red fruit notes. Excellent with red meat."
M. Lawrence,Sex Brut Rosé N.V.,Sparkling wine,United States,4.1,446,18.30,"Pinot Noir, Vidal, Chardonnay",,"With a gleam in my eyes, I asked the love of my life “how about some sex”, she replied “And how, I’ ll get the the bottle, opener, and glasses”.....what were you thinking????? Pink hue, easy on the palate, fun bubbles of Chardonnay, PN, and Muscat. Toast to the New Year Vivino friends,Rose in the glass. Raspberry and cherry taste. Fruity and fun. Great for celebrating Christmas\nHave ""SEX"",Dry. Bubbly. A bit fruity. Really fun."
Rombauer Vineyards,Zinfandel Napa Valley 2018,Red wine,United States,4.4,50,29.99,Zinfandel,,"Another 5 star zin from Rombauer. An absolutely delicious wine. An explosion of raspberry and blackberry fruit flavors. Tastes like an excellent jelly or jam. Very low tannins and so no bitterness at all, which I love. Outstanding!,You can always count on Rombauer for a tasty Sauvignon Blanc.,Dark fruit jam on the nose. Vanilla and oak at first taste and at the finish cinnamon and mild chocolate at the end."
Domaine de Paris,Côtes de Provence 2019,Rosé wine,France,3.8,92,12.99,100% Grenache,14.5,"Flinty, floral, fabulous. Pale pink color belies its flavor profile and bright acidity which is anything but pale. A Provençal chorus singing in unison, “drink me now”!,First new Provence of the year. Delightfully crisp! Raspberry and citrus on the nose. Strawberry, raspberry and lime initial taste with high acidity taking over in the middle. Finish is with nice dry lingering fruit. Bottle says 14.5%ABV which I don’t really appreciate. Being so easy to drink, could be dangerous ...,Bright pink, fruity, fresh taste, Grenache, Syrah, cinsaulut. Nice with pork chops. $12 from Gary’s."
Delaforce,Fine Ruby Port N.V.,Fortified Wine,Portugal,3.4,702,17.99,"Touriga Nacional, Touriga Franca, Tinta Roriz",20,"3.7 Aroma is like Priorat (so fresh and good), taste is easy and sweet,2008 vintage,2008 vintage"
Elouan,Rosé 2019,Rosé wine,United States,4.0,68,15.05,100% Pinot Noir,,"Strawberry-raspberry aroma. Dry and crisp. A well-made wine with excellent food pairing potential.,Nice acid. Fruity.,Have had this Rosé a number times. Always drinks beautifully. Lovely red fruit aromas. Strawberry notes, with hints of minerals, and a nice crisp acidity. 🍷"
Risata,Moscato d'Asti N.V.,Sparkling wine,Italy,4.2,5415,,100% Moscato Bianco,5.5,"2016 vintage,2015 vintage,2012 vintage"
Château Rieussec,Carmes de Rieussec Sauternes 2017,Dessert wine,France,4.0,214,43,"94% Sémillon, 3% Sauvignon Blanc, 3% Muscadelle",14,"with aromas of honey、nuts、blossom,it hs full body in mouth,on the palate this wine is very sweet and high acidity with long finish,it is very good！,Glorious aroma with honeydew bouquet, pale yellow colour and yet good substance, with melon, pineapple, and apricot on the palate, great to pair with foie gra,For a second wine this is not far behind the big brother and at one third the price you would question why bother! Lovely acid cleanses the glorious palate, it will live longer than I will!"
Victoria Ordoñez,La Ola del Melillero Pedro Ximenez - Moscatel de Alejandría 2016,Fortified Wine,Spain,4.0,98,16.99,"Moscatel de Alejandría, Pedro Ximenez",,"Stone fruit and peach on the nose. Light acidity. Little bit of bitterness. Lift minerality. Little bit of lemon and lime. Light finish. Would drink again.,Our first Malaga. Light and very fruity, yet dry. Edelflower, lots, and honey,Special and bold. Quite a refreshing white wine."
Meerlust,Chardonnay 2018,White wine,South Africa,4.1,547,27.99,100% Chardonnay,13,"Wonderful Chardonnay! Grassy, asparagus nose. Buttery full flavour with umami aftertaste! Great way to end a surprisingly wonderful 2020.,This is a delicious Chardonnay that we’re happy to have found again. Upgrading to 4.5 stars — it is a real pleasure for those who want an oaky and buttery Chardonnay.,Pineapple, grapefruit, smoky, savoury. Excellent continuation on the palate, smooth with a savoury edge. Superb complexity and smoothness for such a young wine."
Arendsig,Inspirational Batch 3 Chenin Blanc 2018,White wine,South Africa,4.2,44,34.99,100% Chenin Blanc,,"Aromas of stone fruits, white pear and hints of honeycomb on the nose. The palate is medium-bodied and smooth with excellent depth of fruit flavours. Well-balanced acidity and nicely integrated oak. Long finish. Natural yeasts are used during fermentation. My rating: 15+32+46=93. Highly recommended.,Probably one of the better Chenin Blancs I've had in a very long time and got the thumbs up from the missus. It's delicious. Pork steaks were on the menu and I chose this to go with the dish which was a perfect match. It has a gold appearance in the glass. Medium intensity on the nose with hints of pear, peach, honeysuckle, and oak. Pineapple, honey, pear and apple on the palate. Not much in the way of acidity. Full-bodied with a fresh long finish. Loved it to bits.,Lovely wine, good balance between acidity, alcohol and structure, with great mouthfeel. Would prefer slightly less wood and more fruit."
Taylor's,Special Tawny Porto N.V.,Fortified Wine,Portugal,4.1,422,,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca",20,"2013 vintage,1994 vintage,Hey, Scott White....look what I picked up. Now, I can do a vertical every day!"
Treana,Red 2018,Red wine,United States,4.3,101,39.58,100% Cabernet Sauvignon,15,"Reminds me of Cuttings by Prisoner. Beautiful deep red color. Aromas of dark fruit with a splash of all spice and vanilla complementing blackberry. Medium finish with rounded tannins.,This is a big and bold wine that tastes more expensive than its price tag. A Cab dominant blend with 25% Syrah, I get ripe pomegranate and cola with a solid oak backbone. Very rich.,Amazing, full bodied, complex. Blueberry, blackberry, baking spice, hint of vanilla. Smooth and sooooo good! Austin Hope knows exactly what he’s doing!"
Bisol,Crede Valdobbiadene Prosecco Superiore Brut 2018,Sparkling wine,Italy,4.0,551,20.95,100% Glera,11.5,"A quite structured label belies what is held within. My branding colleagues would suggest that a more austere and robust wine is to come your way. Fortunately not. Elegant and refined with a modicum of sweetness.,Maybe not the bottle you would pick if you live in the Veneto region but...if you are Venetian and you are living abroad... it's like a Mirage! If you are lucky you can find it in some great Italian airports...if you are even more lucky you can find it in some good wineshops in NY...for sure it will be overpriced but at least you know your are drinking a real Prosecco! Don't even try to buy it for preparing Spritz...a Venetian will die the moment you do it ;-) !,Excellent prosecco! 👍🏻 Fresh and fruity, but at the same time soft and enveloping. Green apple, pear, lime, and soft notes of straw and honey. Good balance both on the nose and on the palate, where it maintains excellent drinkability."
Meulenhof,Alte Reben Erdener Treppchen Riesling Spätlese 2015,Dessert wine,Germany,4.0,26,,Riesling,,"Bee wax, honey, mineral, med+acidity, med body, with green apple, pear taste on palate, complex, acidity is a bit mild than expected. A good representation of Mosel style,Semi Sweet, Peach, Apricot,2014 vintage"
Buena Vista,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2018,Red wine,United States,4.3,480,60,100% Cabernet Sauvignon,,"A lovely surprise! A beautiful, soft Napa Cab of exceptional quality under $40. Needs a couple hours to open up and reach its best.,Beautiful bouquet, Cherry, BlackBerry, Plum, Vanilla, Graphite, Dark Chocolate, Peppery Spice, nice acidity, great mouthfeel, lingering finish, wonderful balance.,4.6 The 2018 Buena Vista is a barn burner! Full bodied, high alcohol and enticing acidity. Powerful fruit, yet ripe and elegant. Blackberry and black currant. Lingering finish."
Domaine Glinavos,Paleokerisio 2019,Sparkling wine,Greece,3.9,339,15.99,"Vlachiko, Debina",,"Crazy right away. Smells like a natural wine and drinks like a bready sour beer. Lots of yeast and apples with honey and dried apricots. So weird. Super cool!,Baked apple, cinnamon, dried apricot on the nose, with orange peel and some herbs on the palate. Moderate carbonation, some Campari-like bitterness on the finish. Fun and different!,Fantastic and affordable semi-bubbly Greek orange wine in an adorable 500ml bottle. Orange peel, dried apricots, brown sugar, cheese rind, graham cracker. Beautiful dark copper colour. Yeasty, foamy bubbles. Fun lil freak."
Smith Woodhouse,Late Bottled Vintage Port 2004,Fortified Wine,Portugal,4.1,220,34.99,"Tinta Roriz, Tinta Barroca, Tinta Cão, Touriga Nacional, Touriga Franca",20,"The color is an opaque chocolate ruby. Offers scents & flavors of fine crème de cassis & blackcurrant jam that flow into a cuvée of dried blueberry, dark chocolate, espresso bean, cigar box, river gravel, dusted cinnamon & oak. The mouthfeel sings with plush tannins & delightfully simmering acidity. Finishes with light tension & the impression of apricot schnapps. Bottled unfiltered in 2008, has some fine sediment. 20% ABV, 12% RS. Bx92,Testing dessert wine for the Danish Christmas dessert Risalamande (rice pudding). Nice sweet port with heavy sediment. Notes of chocolate raisin oak dark berries honey tobacco smoke vanilla. Bold great stuff...,Absolutely delicious ruby port"
Argyle,Brut Vintage 2016,Sparkling wine,United States,3.9,180,23.45,"Chardonnay, Pinot Noir",,"Apple citrus toast Light bubble - feel they shifted from 2015 which had more depth and bolder bubble. A lot more citrus on this one.,3.75 but gave it 4 for qpr. Full body, not quite as crisp as Schramsburg. pear and toast on the nose. Very enjoyable. chalk minerals and a little honey on palate,A blend of 55%Ch, 35%PN, 10%PM, it comes with subtle stone fruit on the nose, very clean and fresh, in the mouth - intense with excellent balance between acidity and fruits with a hint of flowers and cream on the back-end. I had it with ceaser salad and then pan fried salmon - was great. 90p"
Georg Albrecht Schneider,Niersteiner Hipping Riesling Spätlese 2014,Dessert wine,Germany,3.7,25,19.99,100% Riesling,,"Got quite a few of these, I’ll definitely be holding on to one to age.,Very nice sweet Riesling with apricot, pear and white grapes, profile. We enjoyed this with a salty fish dish which was perfect and brought balance to the meal.,Crisp apple, nicely sweet, but clean finish"
